463	甜点	 浦东新区	106	76	76	75	28
464	粤菜	 浦东新区	823	81	88	85	76
465	本菜	 浦东新区	19	73	73	73	16
466	浙菜	 浦东新区	200	72	61	65	68
467	浙菜	 浦东新区	61	71	71	71	94
468	浙菜	 浦东新区	10	74	74	74	51
469	常菜	 浦东新区	1	75	71	71	30
470	快餐	 浦东新区	811	80	85	82	28
471	快餐	 浦东新区	811	80	85	82	28
472	甜点	 浦东新区	92	78	81	79	31
473	火锅	 浦东新区	144	80	82	82	50
474	料理	 浦东新区	251	75	75	71	73
475	浙菜	 浦东新区	123	68	66	67	68
476	川菜	 浦东新区	184	77	78	74	70
477	川菜	 浦东新区	76	72	75	74	51
478	粤菜	 浦东新区	129	68	70	70	50
479	火锅	 浦东新区	233	75	75	69	101
480	粤菜	 浦东新区	129	68	70	70	50
481	川菜	 浦东新区	29	70	72	73	53
482	川菜	 浦东新区	29	70	72	73	53
483	本菜	 浦东新区	91	77	74	77	39
484	素菜	 浦东新区	48	81	80	84	67
485	素菜	 浦东新区	48	81	80	84	67
486	西餐	 浦东新区	659	75	77	74	76
487	西餐	 浦东新区	659	75	77	74	76
488	快餐	 浦东新区	1	70	69	69	17
489	火锅	 浦东新区	167	82	86	89	120
490	火锅	 浦东新区	167	82	86	89	120
491	火锅	 浦东新区	1116	81	81	81	74
492	火锅	 浦东新区	167	82	86	89	120
493	火锅	 浦东新区	167	82	86	89	120
494	浙菜	 浦东新区	101	75	72	72	55
495	海鲜	 浦东新区	33	71	71	69	177
496	海鲜	 浦东新区	33	71	71	69	177
497	湘菜	 浦东新区	17	67	70	70	55
498	料理	 浦东新区	155	76	76	77	62
499	火锅	 浦东新区	10	74	75	76	48
500	浙菜	 浦东新区	75	72	72	71	51
501	浙菜	 浦东新区	75	72	72	71	51
502	川菜	 浦东新区	68	68	72	67	72
503	本菜	 浦东新区	279	73	72	73	31
504	甜点	 浦东新区	342	80	81	80	12
505	甜点	 浦东新区	107	74	74	72	31
506	甜点	 浦东新区	107	74	74	72	31
507	快餐	 浦东新区	299	74	73	72	23
508	快餐	 浦东新区	299	74	73	72	23
509	助餐	 浦东新区	1895	77	78	78	52
510	甜点	 浦东新区	72	74	74	74	152
511	甜点	 浦东新区	95	73	73	73	16
512	快餐	 浦东新区	30	67	74	71	43
513	西餐	 浦东新区	178	77	76	75	17
514	美食	 浦东新区	4	74	74	74	19
515	甜点	 浦东新区	183	75	74	73	30
516	甜点	 浦东新区	183	75	74	73	30
517	快餐	 浦东新区	10	69	69	70	20
518	西餐	 浦东新区	188	86	86	87	48
519	西餐	 浦东新区	188	86	86	87	48
520	西餐	 浦东新区	72	69	69	70	39
521	甜点	 浦东新区	144	73	75	74	36
522	快餐	 浦东新区	24	71	72	71	18
523	西餐	 浦东新区	199	74	74	76	30
524	西餐	 浦东新区	21	72	71	70	43
525	烧烤	 浦东新区	33	73	73	73	56
526	烧烤	 浦东新区	33	73	73	73	56
527	啡厅	 浦东新区	110	74	77	75	62
528	啡厅	 浦东新区	110	74	77	75	62
529	快餐	 浦东新区	90	78	83	81	65
530	川菜	 浦东新区	111	78	77	76	63
531	川菜	 浦东新区	22	70	68	70	43
532	粤菜	 浦东新区	333	87	79	80	48
533	粤菜	 浦东新区	39	73	74	74	44
534	北菜	 浦东新区	18	75	75	76	40
535	北菜	 浦东新区	14	71	70	70	62
536	料理	 浦东新区	153	73	74	75	81
537	西餐	 浦东新区	33	65	66	66	17
538	甜点	 浦东新区	10	70	70	70	24
539	啡厅	 浦东新区	16	69	70	68	51
540	快餐	 浦东新区	11	68	68	67	12
541	粤菜	 浦东新区	39	73	74	74	44
542	烧烤	 浦东新区	4	77	75	76	44
543	浙菜	 浦东新区	86	70	69	64	79
544	湘菜	 浦东新区	21	74	70	75	40
545	粤菜	 浦东新区	79	80	77	77	23
546	湘菜	 浦东新区	20	73	68	71	49
547	浙菜	 浦东新区	51	70	70	70	85
548	海鲜	 浦东新区	33	73	73	73	102
549	火锅	 浦东新区	595	78	79	77	94
550	快餐	 浦东新区	82	73	73	73	23
551	快餐	 浦东新区	82	73	73	73	23
552	火锅	 浦东新区	56	70	69	71	93
553	龙虾	 浦东新区	135	78	75	79	93
554	川菜	 浦东新区	498	78	76	75	86
555	海鲜	 浦东新区	43	75	74	74	39
556	浙菜	 浦东新区	65	70	69	69	69
557	火锅	 浦东新区	14	66	68	65	95
558	川菜	 浦东新区	267	74	71	73	95
559	川菜	 浦东新区	267	74	71	73	95
560	浙菜	 浦东新区	19	70	72	71	47
561	海鲜	 浦东新区	21	73	75	74	146
562	火锅	 浦东新区	26	75	74	73	74
563	龙虾	 浦东新区	24	72	69	71	60
564	浙菜	 浦东新区	8	72	72	72	50
565	浙菜	 浦东新区	208	74	74	72	171
566	啡厅	 浦东新区	30	68	69	69	41
567	浙菜	 浦东新区	26	73	75	74	73
568	助餐	 浦东新区	509	74	77	75	119
569	助餐	 浦东新区	509	74	77	75	119
570	美食	 浦东新区	4	75	74	75	72
571	啡厅	 浦东新区	35	74	76	75	47
572	浙菜	 浦东新区	22	73	70	71	104
573	浙菜	 浦东新区	22	73	70	71	104
574	川菜	 浦东新区	70	74	70	73	42
575	川菜	 浦东新区	79	78	82	81	89
576	火锅	 浦东新区	27	79	78	79	83
577	快餐	 浦东新区	98	78	67	68	14
578	快餐	 浦东新区	8	71	71	74	18
579	浙菜	 浦东新区	32	72	72	73	71
580	烧烤	 浦东新区	39	75	71	75	40
581	美食	 浦东新区	31	66	66	66	22
582	龙虾	 浦东新区	1	70	70	70	43
